"Paper_title"	"Paper_author"	"Data_extraction_method"	"Sel_coeff"	"Error_new"	"Sel_temp"	"Assay_temp"	"Rel_assay_temp"	"Abs_rel_assay_temp"	"Sign"	"Side"	"No_of_Gen"	"Recombination"	"Type_Gen_var"	"Ans_vs_Control"	"Study_ID"	"Curve_ID"	"Genus"	"Species"	"Scientific_name"	"Exp_Design"
"1"	"An experimental test of evolutionary trade-offs during temperature adaptation	"	"(Bennett and Lenski, 2007)"	"Paper"	0.106051519	0.020157852	20	20	0	0	"low"	"positive"	2000	"no"	"denovo"	"Anc"	"Bennett_and_Lenski_2007"	"Bennett_and_Lenski_2007_1"	"Escherichia"	"coli"	"Escherichia coli"	"SL_TH"
"2"	"An experimental test of evolutionary trade-offs during temperature adaptation	"	"(Bennett and Lenski, 2007)"	"Paper"	0.067928424	0.011316689	20	20	0	0	"low"	"positive"	2000	"no"	"denovo"	"Anc"	"Bennett_and_Lenski_2007"	"Bennett_and_Lenski_2007_2"	"Escherichia"	"coli"	"Escherichia coli"	"SL_TH"
"3"	"An experimental test of evolutionary trade-offs during temperature adaptation	"	"(Bennett and Lenski, 2007)"	"Paper"	0.078325631	0.018035973	20	20	0	0	"low"	"positive"	2000	"no"	"denovo"	"Anc"	"Bennett_and_Lenski_2007"	"Bennett_and_Lenski_2007_3"	"Escherichia"	"coli"	"Escherichia coli"	"SL_TH"
"4"	"An experimental test of evolutionary trade-offs during temperature adaptation	"	"(Bennett and Lenski, 2007)"	"Paper"	0.080405073	0.019096912	20	20	0	0	"low"	"positive"	2000	"no"	"denovo"	"Anc"	"Bennett_and_Lenski_2007"	"Bennett_and_Lenski_2007_4"	"Escherichia"	"coli"	"Escherichia coli"	"SL_TH"
"5"	"An experimental test of evolutionary trade-offs during temperature adaptation	"	"(Bennett and Lenski, 2007)"	"Paper"	-0.14001573	0.078509528	20	40	20	20	"low"	"positive"	2000	"no"	"denovo"	"Anc"	"Bennett_and_Lenski_2007"	"Bennett_and_Lenski_2007_1"	"Escherichia"	"coli"	"Escherichia coli"	"SL_TH"
"6"	"An experimental test of evolutionary trade-offs during temperature adaptation	"	"(Bennett and Lenski, 2007)"	"Paper"	-0.090109133	0.04880322	20	40	20	20	"low"	"positive"	2000	"no"	"denovo"	"Anc"	"Bennett_and_Lenski_2007"	"Bennett_and_Lenski_2007_2"	"Escherichia"	"coli"	"Escherichia coli"	"SL_TH"
"7"	"An experimental test of evolutionary trade-offs during temperature adaptation	"	"(Bennett and Lenski, 2007)"	"Paper"	0.033271065	0.037840178	20	40	20	20	"low"	"positive"	2000	"no"	"denovo"	"Anc"	"Bennett_and_Lenski_2007"	"Bennett_and_Lenski_2007_3"	"Escherichia"	"coli"	"Escherichia coli"	"SL_TH"
"8"	"An experimental test of evolutionary trade-offs during temperature adaptation	"	"(Bennett and Lenski, 2007)"	"Paper"	-0.020794415	0.013438568	20	40	20	20	"low"	"positive"	2000	"no"	"denovo"	"Anc"	"Bennett_and_Lenski_2007"	"Bennett_and_Lenski_2007_4"	"Escherichia"	"coli"	"Escherichia coli"	"SL_TH"
"9"	"Rapid evolution in response to warming does not affect the toxicity of a pollutant: Insights from experimental evolution in heated mesocosms	"	"(Zhang et al., 2019)	"	"Supplementary information"	0.015267176	0.032689624	24	20	-4	4	"high"	"negative"	NA	"no"	"standing"	"Control"	"Zhang_et_al_2019"	"Zhang_et_al_2019_1"	"Daphnia"	"magna"	"Daphnia magna"	"SH_TL"
"10"	"Rapid evolution in response to warming does not affect the toxicity of a pollutant: Insights from experimental evolution in heated mesocosms	"	"(Zhang et al., 2019)	"	"Supplementary information"	0.336633663	0.0698411	24	24	0	0	"high"	"negative"	NA	"no"	"standing"	"Control"	"Zhang_et_al_2019"	"Zhang_et_al_2019_1"	"Daphnia"	"magna"	"Daphnia magna"	"SH_TL"
