"Paper_title"	"Paper_author"	"Data_extraction_method"	"Sel_coeff"	"Error_new"	"Sel_temp"	"Assay_temp"	"Rel_assay_temp"	"Abs_rel_assay_temp"	"Sign"	"No_of_Gen"	"Recombination"	"Type_Gen_var"	"Anc_vs_Control"	"Study_ID"	"Curve_ID"	"Genus"	"Species"	"Scientific_name"
"1"	"Evolutionary adaptation to temperature. IX. Preadaptation to novel stressful environments of Escherichia coli adapted to high temperature	"	"(Cullum et al., 2001)	"	"Paper"	0.225272834	0.068607425	41.5	41.5	0	0	"high"	2000	"no"	"denovo"	"Anc"	"Cullum_2001"	"Cullum_2001_1"	"Escherichia"	"coli"	"Escherichia coli"
"2"	"Rapid, but limited, zooplankton adaptation to simultaneous warming and acidification	"	"(Dam et al., 2021)	"	"Graph"	-0.035108959	0.03105471	18	18	0	0	"equal"	25	"yes"	"standing"	"Anc"	"Dam_et_al_2021"	"Dam_et_al_2021_1"	"Acartia"	"tonsa"	"Acartia tonsa"
"3"	"Rapid, but limited, zooplankton adaptation to simultaneous warming and acidification	"	"(Dam et al., 2021)	"	"Graph"	0.38028169	0.082902001	22	22	0	0	"high"	25	"yes"	"standing"	"Anc"	"Dam_et_al_2021"	"Dam_et_al_2021_2"	"Acartia"	"tonsa"	"Acartia tonsa"
"4"	"Rapid, but limited, zooplankton adaptation to simultaneous warming and acidification	"	"(Dam et al., 2021)	"	"Graph"	0.648501362	0.187116582	22	22	0	0	"high"	25	"yes"	"standing"	"Anc"	"Dam_et_al_2021"	"Dam_et_al_2021_3"	"Acartia"	"tonsa"	"Acartia tonsa"
"5"	"Evolutionary temperature compensation of carbon fixation in marine phytoplankton	"	"Barton_et_al_2020	"	"Supplementary information"	-0.00102756	0.011588487	20	20	0	0	"equal"	300	"no"	"denovo"	"Anc"	"Barton_et_al_2020"	"Barton_et_al_2020_1"	"Ostreococcus"	"tauri"	"Ostreococcus tauri"
"6"	"Evolutionary temperature compensation of carbon fixation in marine phytoplankton	"	"Barton_et_al_2020	"	"Supplementary information"	0.656809027	0.206483985	33	33	0	0	"high"	100	"no"	"denovo"	"Anc"	"Barton_et_al_2020"	"Barton_et_al_2020_2"	"Ostreococcus"	"tauri"	"Ostreococcus tauri"
"7"	"Evolutionary temperature compensation of carbon fixation in marine phytoplankton	"	"Barton_et_al_2020	"	"Supplementary information"	0.188035258	0.130828998	20	20	0	0	"equal"	100	"no"	"denovo"	"Anc"	"Barton_et_al_2020"	"Barton_et_al_2020_3"	"Synechococcus"	"sp"	"Synechococcus sp"
"8"	"Evolutionary temperature compensation of carbon fixation in marine phytoplankton	"	"Barton_et_al_2020	"	"Supplementary information"	2.161004918	0.539193365	30	30	0	0	"high"	100	"no"	"denovo"	"Anc"	"Barton_et_al_2020"	"Barton_et_al_2020_4"	"Synechococcus"	"sp"	"Synechococcus sp"
"9"	"Evolutionary temperature compensation of carbon fixation in marine phytoplankton	"	"Barton_et_al_2020	"	"Supplementary information"	0.219261179	0.088533228	22	22	0	0	"equal"	300	"no"	"denovo"	"Anc"	"Barton_et_al_2020"	"Barton_et_al_2020_5"	"Thalassiosira"	"pseudonana"	"Thalassiosira pseudonana"
"10"	"Evolutionary temperature compensation of carbon fixation in marine phytoplankton	"	"Barton_et_al_2020	"	"Supplementary information"	2.541096449	0.360277588	32	32	0	0	"high"	300	"no"	"denovo"	"Anc"	"Barton_et_al_2020"	"Barton_et_al_2020_6"	"Thalassiosira"	"pseudonana"	"Thalassiosira pseudonana"
"11"	"Response to multi-generational selection under elevated [CO2] in two temperature regimes suggests enhanced carbon assimilation and increased reproductive output in Brassica napus L.	"	"(Frenck et al., 2013)"	"Graph"	0.201941748	0.292795633	24	24	0	0	"high"	4	"yes"	"standing"	"Control"	"Frenck"	"Frenck_1"	"Brassica"	"napus"	"Brassica napus"
"12"	"The importance of pre- and postcopulatory sexual selection promoting adaptation to increasing temperatures	"	"(Gomez-Llano et al., 2021)	"	"Graph"	1.166666667	1.772876152	29	29	0	0	"high"	6	"yes"	"standing"	"Control"	"Gomez_Llano_et_al_2021"	"Gomez_Llano_et_al_2021_1"	"Drosophila"	"melanogaster"	"Drosophila melanogaster"
"13"	"The importance of pre- and postcopulatory sexual selection promoting adaptation to increasing temperatures	"	"(Gomez-Llano et al., 2021)	"	"Graph"	0.47761194	0.719766065	29	29	0	0	"high"	6	"yes"	"standing"	"Control"	"Gomez_Llano_et_al_2021"	"Gomez_Llano_et_al_2021_2"	"Drosophila"	"melanogaster"	"Drosophila melanogaster"
"14"	"The importance of pre- and postcopulatory sexual selection promoting adaptation to increasing temperatures	"	"(Gomez-Llano et al., 2021)	"	"Graph"	8.2	6.282547254	29	29	0	0	"high"	6	"yes"	"standing"	"Control"	"Gomez_Llano_et_al_2021"	"Gomez_Llano_et_al_2021_3"	"Drosophila"	"melanogaster"	"Drosophila melanogaster"
